Entity,Code,Year,CO₂ emissions from fossil fuels and land use change,CO₂ emissions from fossil fuels and industry,CO₂ emissions from land use change
Africa (GCP),,1964,16560771072,10829867008,5730903552
Africa (GCP),,1965,16510402560,11317882880,5192520192
Africa (GCP),,1966,16809500672,11867256832,4942243840
Africa (GCP),,1967,17272217600,12244393984,5027824640
Africa (GCP),,1968,17965920256,12911313920,5054606336
Africa (GCP),,1969,18503319552,13767876608,4735442944
Africa (GCP),,1970,19612364800,14898575360,4713788416
Africa (GCP),,1971,20164421632,15499657216,4664764416
Africa (GCP),,1972,20899108864,16222739456,4676368896
Africa (GCP),,1973,21618507776,17080141824,4538366464
Africa (GCP),,1974,21379604480,17011143680,4368461824
Africa (GCP),,1975,22240493568,17048539136,5191953408
Africa (GCP),,1976,22755766272,17985501184,4770264576
Africa (GCP),,1977,23139760128,18496430080,4643330048
Africa (GCP),,1978,23297722368,19069630464,4228091392
Africa (GCP),,1979,23864434688,19611475968,4252957696
Africa (GCP),,1980,23638337536,19494451200,4143886336
Africa (GCP),,1981,23343929344,19029032960,4314896384
Africa (GCP),,1982,23111575552,18877890560,4233685504
Africa (GCP),,1983,23661371392,19000182784,4661189632
Africa (GCP),,1984,24831905792,19659028480,5172877312
Africa (GCP),,1985,25221292032,20319909888,4901381120
Africa (GCP),,1986,25450475520,20622252032,4828223488
Africa (GCP),,1987,25899237376,21269166080,4630070784
Africa (GCP),,1988,26608850944,22104852480,4503998464
Africa (GCP),,1989,26764148736,22410432512,4353715200
Africa (GCP),,1990,27041505280,22742327296,4299177984
Africa (GCP),,1991,27442896896,23230810112,4212085760
Africa (GCP),,1992,26953144320,22561548288,4391596544
Africa (GCP),,1993,27088326656,22795134976,4293191936
Africa (GCP),,1994,27771367424,22956447744,4814918656
Africa (GCP),,1995,28211814400,23445604352,4766209024
Africa (GCP),,1996,28987062272,24146044928,4841017344
Africa (GCP),,1997,30965524480,24294881280,6670642688
Africa (GCP),,1998,29336451072,24202033152,5134417920
Africa (GCP),,1999,29587886080,24514863104,5073021952
Africa (GCP),,2000,29767446528,25230159872,4537286656
Africa (GCP),,2001,29612062720,25447149568,4164913920
Africa (GCP),,2002,30753978368,26035853312,4718125056
Africa (GCP),,2003,32456863744,27363506176,5093357056
Africa (GCP),,2004,33200537600,28624242688,4576294400
Africa (GCP),,2005,33698942976,29599029248,4099912960
Africa (GCP),,2006,35219714048,30579730432,4639984128
Africa (GCP),,2007,35536441344,31489845248,4046596096
Africa (GCP),,2008,36204646400,32065773568,4138871040
Africa (GCP),,2009,36132634624,31603392512,4529241088
Africa (GCP),,2010,37618974720,33340114944,4278861312
Africa (GCP),,2011,39296249856,34465112064,4831137792
Africa (GCP),,2012,39647084544,34970644480,4676440064
Africa (GCP),,2013,39596494848,35279704064,4316789248
Africa (GCP),,2014,40095285248,35531591680,4563694592
Africa (GCP),,2015,40260575232,35493670912,4766905856
Africa (GCP),,2016,39153553408,35449978880,3703574528
Africa (GCP),,2017,39585964032,35923083264,3662879232
Africa (GCP),,2018,40500518912,36642979840,3857538816
Africa (GCP),,2019,40524558336,36699148288,3825410560
Africa (GCP),,2020,38017839104,34807844864,3209992960
Albania,ALB,1959,15618355200,8856374272,6761980928
Albania,ALB,1960,16179810304,9387810816,6791998976
Albania,ALB,1961,16241441792,9418633216,6822808576
Albania,ALB,1962,16312017920,9751263232,6560754688
Albania,ALB,1963,16324313088,10271890432,6052422144
Albania,ALB,1964,16560771072,10829867008,5730903552
Albania,ALB,1965,16510402560,11317882880,5192520192
Albania,ALB,1966,16809500672,11867256832,4942243840
Albania,ALB,1967,17272217600,12244393984,5027824640
Albania,ALB,1968,17965920256,12911313920,5054606336
Albania,ALB,1969,18503319552,13767876608,4735442944
Albania,ALB,1970,19612364800,14898575360,4713788416
Albania,ALB,1971,20164421632,15499657216,4664764416
Albania,ALB,1972,20899108864,16222739456,4676368896
Albania,ALB,1973,21618507776,17080141824,4538366464
Albania,ALB,1974,21379604480,17011143680,4368461824
Albania,ALB,1975,22240493568,17048539136,5191953408
Albania,ALB,1976,22755766272,17985501184,4770264576
Albania,ALB,1977,23139760128,18496430080,4643330048
Albania,ALB,1978,23297722368,19069630464,4228091392
Albania,ALB,1979,23864434688,19611475968,4252957696
Albania,ALB,1980,23638337536,19494451200,4143886336
Albania,ALB,1981,23343929344,19029032960,4314896384
Albania,ALB,1982,23111575552,18877890560,4233685504
Albania,ALB,1983,23661371392,19000182784,4661189632
Albania,ALB,1984,24831905792,19659028480,5172877312
Albania,ALB,1985,25221292032,20319909888,4901381120
Albania,ALB,1986,25450475520,20622252032,4828223488
Albania,ALB,1987,25899237376,21269166080,4630070784
Albania,ALB,1988,26608850944,22104852480,4503998464
Albania,ALB,1989,26764148736,22410432512,4353715200
Albania,ALB,1990,27041505280,22742327296,4299177984
Albania,ALB,1991,27442896896,23230810112,4212085760
Albania,ALB,1992,26953144320,22561548288,4391596544
Albania,ALB,1993,27088326656,22795134976,4293191936
Albania,ALB,1994,27771367424,22956447744,4814918656
Albania,ALB,1995,28211814400,23445604352,4766209024
Albania,ALB,1996,28987062272,24146044928,4841017344
Albania,ALB,1997,30965524480,24294881280,6670642688
Albania,ALB,1998,29336451072,24202033152,5134417920
Albania,ALB,1999,29587886080,24514863104,5073021952
Albania,ALB,2000,29767446528,25230159872,4537286656
Albania,ALB,2001,29612062720,25447149568,4164913920
Albania,ALB,2002,30753978368,26035853312,4718125056
Albania,ALB,2003,32456863744,27363506176,5093357056
Albania,ALB,2004,33200537600,28624242688,4576294400
Albania,ALB,2005,33698942976,29599029248,4099912960
Albania,ALB,2006,35219714048,30579730432,4639984128
Albania,ALB,2007,35536441344,31489845248,4046596096
Albania,ALB,2008,36204646400,32065773568,4138871040
Albania,ALB,2009,36132634624,31603392512,4529241088
Albania,ALB,2010,37618974720,33340114944,4278861312
Albania,ALB,2011,39296249856,34465112064,4831137792
Albania,ALB,2012,39647084544,34970644480,4676440064
Albania,ALB,2013,39596494848,35279704064,4316789248
Albania,ALB,2014,40095285248,35531591680,4563694592
Albania,ALB,2015,40260575232,35493670912,4766905856
Albania,ALB,2016,39153553408,35449978880,3703574528
Albania,ALB,2017,39585964032,35923083264,3662879232
Albania,ALB,2018,40500518912,36642979840,3857538816
Albania,ALB,2019,40524558336,36699148288,3825410560
Albania,ALB,2020,38017839104,34807844864,3209992960
Algeria,DZA,1959,15618355200,8856374272,6761980928
Algeria,DZA,1960,16179810304,9387810816,6791998976
Algeria,DZA,1961,16241441792,9418633216,6822808576
Algeria,DZA,1962,16312017920,9751263232,6560754688
Algeria,DZA,1963,16324313088,10271890432,6052422144
Algeria,DZA,1964,16560771072,10829867008,5730903552
Algeria,DZA,1965,16510402560,11317882880,5192520192
Algeria,DZA,1966,16809500672,11867256832,4942243840
Algeria,DZA,1967,17272217600,12244393984,5027824640
Algeria,DZA,1968,17965920256,12911313920,5054606336
Algeria,DZA,1969,18503319552,13767876608,4735442944
Algeria,DZA,1970,19612364800,14898575360,4713788416
Algeria,DZA,1971,20164421632,15499657216,4664764416
Algeria,DZA,1972,20899108864,16222739456,4676368896
Algeria,DZA,1973,21618507776,17080141824,4538366464
Algeria,DZA,1974,21379604480,17011143680,4368461824
Algeria,DZA,1975,22240493568,17048539136,5191953408
Algeria,DZA,1976,22755766272,17985501184,4770264576
Algeria,DZA,1977,23139760128,18496430080,4643330048
Algeria,DZA,1978,23297722368,19069630464,4228091392
Algeria,DZA,1979,23864434688,19611475968,4252957696
Algeria,DZA,1980,23638337536,19494451200,4143886336
Algeria,DZA,1981,23343929344,19029032960,4314896384
Algeria,DZA,1982,23111575552,18877890560,4233685504
Algeria,DZA,1983,23661371392,19000182784,4661189632
Algeria,DZA,1984,24831905792,19659028480,5172877312
Algeria,DZA,1985,25221292032,20319909888,4901381120
Algeria,DZA,1986,25450475520,20622252032,4828223488
Algeria,DZA,1987,25899237376,21269166080,4630070784
Algeria,DZA,1988,26608850944,22104852480,4503998464
Algeria,DZA,1989,26764148736,22410432512,4353715200
Algeria,DZA,1990,27041505280,22742327296,4299177984
Algeria,DZA,1991,27442896896,23230810112,4212085760
Algeria,DZA,1992,26953144320,22561548288,4391596544
Algeria,DZA,1993,27088326656,22795134976,4293191936
Algeria,DZA,1994,27771367424,22956447744,4814918656
Algeria,DZA,1995,28211814400,23445604352,4766209024
Algeria,DZA,1996,28987062272,24146044928,4841017344
Algeria,DZA,1997,30965524480,24294881280,6670642688
Algeria,DZA,1998,29336451072,24202033152,5134417920
Algeria,DZA,1999,29587886080,24514863104,5073021952
Algeria,DZA,2000,29767446528,25230159872,4537286656
Algeria,DZA,2001,29612062720,25447149568,4164913920
Algeria,DZA,2002,30753978368,26035853312,4718125056
Algeria,DZA,2003,32456863744,27363506176,5093357056
Algeria,DZA,2004,33200537600,28624242688,4576294400
Algeria,DZA,2005,33698942976,29599029248,4099912960
Algeria,DZA,2006,35219714048,30579730432,4639984128
Algeria,DZA,2007,35536441344,31489845248,4046596096
Algeria,DZA,2008,36204646400,32065773568,4138871040
Algeria,DZA,2009,36132634624,31603392512,4529241088
Algeria,DZA,2010,37618974720,33340114944,4278861312
Algeria,DZA,2011,39296249856,34465112064,4831137792
Algeria,DZA,2012,39647084544,34970644480,4676440064
Algeria,DZA,2013,39596494848,35279704064,4316789248
Algeria,DZA,2014,40095285248,35531591680,4563694592
Algeria,DZA,2015,40260575232,35493670912,4766905856
Algeria,DZA,2016,39153553408,35449978880,3703574528
Algeria,DZA,2017,39585964032,35923083264,3662879232
Algeria,DZA,2018,40500518912,36642979840,3857538816
Algeria,DZA,2019,40524558336,36699148288,3825410560
Algeria,DZA,2020,38017839104,34807844864,3209992960
Andorra,AND,1959,15618355200,8856374272,6761980928
Andorra,AND,1960,16179810304,9387810816,6791998976
Andorra,AND,1961,16241441792,9418633216,6822808576
Andorra,AND,1962,16312017920,9751263232,6560754688
Andorra,AND,1963,16324313088,10271890432,6052422144
Andorra,AND,1964,16560771072,10829867008,5730903552
Andorra,AND,1965,16510402560,11317882880,5192520192
Andorra,AND,1966,16809500672,11867256832,4942243840
Andorra,AND,1967,17272217600,12244393984,5027824640
Andorra,AND,1968,17965920256,12911313920,5054606336
Andorra,AND,1969,18503319552,13767876608,4735442944
Andorra,AND,1970,19612364800,14898575360,4713788416
Andorra,AND,1971,20164421632,15499657216,4664764416
Andorra,AND,1972,20899108864,16222739456,4676368896
Andorra,AND,1973,21618507776,17080141824,4538366464
Andorra,AND,1974,21379604480,17011143680,4368461824
Andorra,AND,1975,22240493568,17048539136,5191953408
Andorra,AND,1976,22755766272,17985501184,4770264576
Andorra,AND,1977,23139760128,18496430080,4643330048
Andorra,AND,1978,23297722368,19069630464,4228091392
Andorra,AND,1979,23864434688,19611475968,4252957696
Andorra,AND,1980,23638337536,19494451200,4143886336
Andorra,AND,1981,23343929344,19029032960,4314896384
Andorra,AND,1982,23111575552,18877890560,4233685504
Andorra,AND,1983,23661371392,19000182784,4661189632
Andorra,AND,1984,24831905792,19659028480,5172877312
Andorra,AND,1985,25221292032,20319909888,4901381120
Andorra,AND,1986,25450475520,20622252032,4828223488
Andorra,AND,1987,25899237376,21269166080,4630070784
Andorra,AND,1988,26608850944,22104852480,4503998464
Andorra,AND,1989,26764148736,22410432512,4353715200
Andorra,AND,1990,27041505280,22742327296,4299177984
Andorra,AND,1991,27442896896,23230810112,4212085760
Andorra,AND,1992,26953144320,22561548288,4391596544
Andorra,AND,1993,27088326656,22795134976,4293191936
Andorra,AND,1994,27771367424,22956447744,4814918656
Andorra,AND,1995,28211814400,23445604352,4766209024
Andorra,AND,1996,28987062272,24146044928,4841017344
Andorra,AND,1997,30965524480,24294881280,6670642688
Andorra,AND,1998,29336451072,24202033152,5134417920
Andorra,AND,1999,29587886080,24514863104,5073021952
Andorra,AND,2000,29767446528,25230159872,4537286656
Andorra,AND,2001,29612062720,25447149568,4164913920
Andorra,AND,2002,30753978368,26035853312,4718125056
Andorra,AND,2003,32456863744,27363506176,5093357056
Andorra,AND,2004,33200537600,28624242688,4576294400
Andorra,AND,2005,33698942976,29599029248,4099912960
Andorra,AND,2006,35219714048,30579730432,4639984128
Andorra,AND,2007,35536441344,31489845248,4046596096
Andorra,AND,2008,36204646400,32065773568,4138871040
Andorra,AND,2009,36132634624,31603392512,4529241088
Andorra,AND,2010,37618974720,33340114944,4278861312
Andorra,AND,2011,39296249856,34465112064,4831137792
Andorra,AND,2012,39647084544,34970644480,4676440064
Andorra,AND,2013,39596494848,35279704064,4316789248
Andorra,AND,2014,40095285248,35531591680,4563694592
Andorra,AND,2015,40260575232,35493670912,4766905856
Andorra,AND,2016,39153553408,35449978880,3703574528
Andorra,AND,2017,39585964032,35923083264,3662879232
Andorra,AND,2018,40500518912,36642979840,3857538816
Andorra,AND,2019,40524558336,36699148288,3825410560
Andorra,AND,2020,38017839104,34807844864,3209992960
Angola,AGO,1959,15618355200,8856374272,6761980928
Angola,AGO,1960,16179810304,9387810816,6791998976
Angola,AGO,1961,16241441792,9418633216,6822808576
Angola,AGO,1962,16312017920,9751263232,6560754688
Angola,AGO,1963,16324313088,10271890432,6052422144
Angola,AGO,1964,16560771072,10829867008,5730903552
Angola,AGO,1965,16510402560,11317882880,5192520192
Angola,AGO,1966,16809500672,11867256832,4942243840
Angola,AGO,1967,17272217600,12244393984,5027824640
Angola,AGO,1968,17965920256,12911313920,5054606336
Angola,AGO,1969,18503319552,13767876608,4735442944
Angola,AGO,1970,19612364800,14898575360,4713788416
Angola,AGO,1971,20164421632,15499657216,4664764416
Angola,AGO,1972,20899108864,16222739456,4676368896
Angola,AGO,1973,21618507776,17080141824,4538366464
Angola,AGO,1974,21379604480,17011143680,4368461824
Angola,AGO,1975,22240493568,17048539136,5191953408
Angola,AGO,1976,22755766272,17985501184,4770264576
Angola,AGO,1977,23139760128,18496430080,4643330048
Angola,AGO,1978,23297722368,19069630464,4228091392
Angola,AGO,1979,23864434688,19611475968,4252957696
Angola,AGO,1980,23638337536,19494451200,4143886336
Angola,AGO,1981,23343929344,19029032960,4314896384
Angola,AGO,1982,23111575552,18877890560,4233685504
Angola,AGO,1983,23661371392,19000182784,4661189632
Angola,AGO,1984,24831905792,19659028480,5172877312
Angola,AGO,1985,25221292032,20319909888,4901381120
Angola,AGO,1986,25450475520,20622252032,4828223488
Angola,AGO,1987,25899237376,21269166080,4630070784
Angola,AGO,1988,26608850944,22104852480,4503998464
Angola,AGO,1989,26764148736,22410432512,4353715200
Angola,AGO,1990,27041505280,22742327296,4299177984
Angola,AGO,1991,27442896896,23230810112,4212085760
Angola,AGO,1992,26953144320,22561548288,4391596544
Angola,AGO,1993,27088326656,22795134976,4293191936
Angola,AGO,1994,27771367424,22956447744,4814918656
Angola,AGO,1995,28211814400,23445604352,4766209024
Angola,AGO,1996,28987062272,24146044928,4841017344
Angola,AGO,1997,30965524480,24294881280,6670642688
Angola,AGO,1998,29336451072,24202033152,5134417920
Angola,AGO,1999,29587886080,24514863104,5073021952
Angola,AGO,2000,29767446528,25230159872,4537286656
Angola,AGO,2001,29612062720,25447149568,4164913920
Angola,AGO,2002,30753978368,26035853312,4718125056
Angola,AGO,2003,32456863744,27363506176,5093357056
Angola,AGO,2004,33200537600,28624242688,4576294400
Angola,AGO,2005,33698942976,29599029248,4099912960
Angola,AGO,2006,35219714048,30579730432,4639984128
Angola,AGO,2007,35536441344,31489845248,4046596096
Angola,AGO,2008,36204646400,32065773568,4138871040
Angola,AGO,2009,36132634624,31603392512,4529241088
Angola,AGO,2010,37618974720,33340114944,4278861312
Angola,AGO,2011,39296249856,34465112064,4831137792
Angola,AGO,2012,39647084544,34970644480,4676440064
Angola,AGO,2013,39596494848,35279704064,4316789248
Angola,AGO,2014,40095285248,35531591680,4563694592
Angola,AGO,2015,40260575232,35493670912,4766905856
Angola,AGO,2016,39153553408,35449978880,3703574528
Angola,AGO,2017,39585964032,35923083264,3662879232
Angola,AGO,2018,40500518912,36642979840,3857538816
Angola,AGO,2019,40524558336,36699148288,3825410560
Angola,AGO,2020,38017839104,34807844864,3209992960
Anguilla,AIA,1959,15618355200,8856374272,6761980928
Anguilla,AIA,1960,16179810304,9387810816,6791998976
Anguilla,AIA,1961,16241441792,9418633216,6822808576
Anguilla,AIA,1962,16312017920,9751263232,6560754688
Anguilla,AIA,1963,16324313088,10271890432,6052422144
Anguilla,AIA,1964,16560771072,10829867008,5730903552
Anguilla,AIA,1965,16510402560,11317882880,5192520192
Anguilla,AIA,1966,16809500672,11867256832,4942243840
Anguilla,AIA,1967,17272217600,12244393984,5027824640
Anguilla,AIA,1968,17965920256,12911313920,5054606336
Anguilla,AIA,1969,18503319552,13767876608,4735442944
Anguilla,AIA,1970,19612364800,14898575360,4713788416
Anguilla,AIA,1971,20164421632,15499657216,4664764416
Anguilla,AIA,1972,20899108864,16222739456,4676368896
Anguilla,AIA,1973,21618507776,17080141824,4538366464
Anguilla,AIA,1974,21379604480,17011143680,4368461824
Anguilla,AIA,1975,22240493568,17048539136,5191953408
Anguilla,AIA,1976,22755766272,17985501184,4770264576
Anguilla,AIA,1977,23139760128,18496430080,4643330048
Anguilla,AIA,1978,23297722368,19069630464,4228091392
Anguilla,AIA,1979,23864434688,19611475968,4252957696
Anguilla,AIA,1980,23638337536,19494451200,4143886336
Anguilla,AIA,1981,23343929344,19029032960,4314896384
Anguilla,AIA,1982,23111575552,18877890560,4233685504
Anguilla,AIA,1983,23661371392,19000182784,4661189632
Anguilla,AIA,1984,24831905792,19659028480,5172877312
Anguilla,AIA,1985,25221292032,20319909888,4901381120
Anguilla,AIA,1986,25450475520,20622252032,4828223488
Anguilla,AIA,1987,25899237376,21269166080,4630070784
Anguilla,AIA,1988,26608850944,22104852480,4503998464
Anguilla,AIA,1989,26764148736,22410432512,4353715200
Anguilla,AIA,1990,27041505280,22742327296,4299177984
Anguilla,AIA,1991,27442896896,23230810112,4212085760
Anguilla,AIA,1992,26953144320,22561548288,4391596544
Anguilla,AIA,1993,27088326656,22795134976,4293191936
Anguilla,AIA,1994,27771367424,22956447744,4814918656
Anguilla,AIA,1995,28211814400,23445604352,4766209024
Anguilla,AIA,1996,28987062272,24146044928,4841017344
Anguilla,AIA,1997,30965524480,24294881280,6670642688
Anguilla,AIA,1998,29336451072,24202033152,5134417920
Anguilla,AIA,1999,29587886080,24514863104,5073021952
Anguilla,AIA,2000,29767446528,25230159872,4537286656
Anguilla,AIA,2001,29612062720,25447149568,4164913920
Anguilla,AIA,2002,30753978368,26035853312,4718125056
Anguilla,AIA,2003,32456863744,27363506176,5093357056
Anguilla,AIA,2004,33200537600,28624242688,4576294400
Anguilla,AIA,2005,33698942976,29599029248,4099912960
Anguilla,AIA,2006,35219714048,30579730432,4639984128
Anguilla,AIA,2007,35536441344,31489845248,4046596096
Anguilla,AIA,2008,36204646400,32065773568,4138871040
Anguilla,AIA,2009,36132634624,31603392512,4529241088
Anguilla,AIA,2010,37618974720,33340114944,4278861312
Anguilla,AIA,2011,39296249856,34465112064,4831137792
Anguilla,AIA,2012,39647084544,34970644480,4676440064
Anguilla,AIA,2013,39596494848,35279704064,4316789248
Anguilla,AIA,2014,40095285248,35531591680,4563694592
Anguilla,AIA,2015,40260575232,35493670912,4766905856
Anguilla,AIA,2016,39153553408,35449978880,3703574528
Anguilla,AIA,2017,39585964032,35923083264,3662879232
Anguilla,AIA,2018,40500518912,36642979840,3857538816
Anguilla,AIA,2019,40524558336,36699148288,3825410560
Anguilla,AIA,2020,38017839104,34807844864,3209992960
Antigua and Barbuda,ATG,1959,15618355200,8856374272,6761980928
Antigua and Barbuda,ATG,1960,16179810304,9387810816,6791998976
Antigua and Barbuda,ATG,1961,16241441792,9418633216,6822808576
Antigua and Barbuda,ATG,1962,16312017920,9751263232,6560754688
Antigua and Barbuda,ATG,1963,16324313088,10271890432,6052422144
Antigua and Barbuda,ATG,1964,16560771072,10829867008,5730903552
Antigua and Barbuda,ATG,1965,16510402560,11317882880,5192520192
Antigua and Barbuda,ATG,1966,16809500672,11867256832,4942243840
Antigua and Barbuda,ATG,1967,17272217600,12244393984,5027824640
Antigua and Barbuda,ATG,1968,17965920256,12911313920,5054606336
Antigua and Barbuda,ATG,1969,18503319552,13767876608,4735442944
Antigua and Barbuda,ATG,1970,19612364800,14898575360,4713788416
Antigua and Barbuda,ATG,1971,20164421632,15499657216,4664764416
Antigua and Barbuda,ATG,1972,20899108864,16222739456,4676368896
Antigua and Barbuda,ATG,1973,21618507776,17080141824,4538366464
Antigua and Barbuda,ATG,1974,21379604480,17011143680,4368461824
Antigua and Barbuda,ATG,1975,22240493568,17048539136,5191953408
Antigua and Barbuda,ATG,1976,22755766272,17985501184,4770264576
Antigua and Barbuda,ATG,1977,23139760128,18496430080,4643330048
Antigua and Barbuda,ATG,1978,23297722368,19069630464,4228091392
Antigua and Barbuda,ATG,1979,23864434688,19611475968,4252957696
Antigua and Barbuda,ATG,1980,23638337536,19494451200,4143886336
